titre,entreprise,secteur,ville,contrat,date_publication,description,lien
Standardiste expérimenté(e) chargé(e) de la clientèle,GRAZEINA TECHNOLOGIES,Alarmes - Surveillance,Dakar,Stage,2025-06-18,"Responsabilités principales

 Accueil & Standard

Réceptionner et orienter les appels entrants avec courtoisie et professionnalisme



Assurer la prise de messages et leur transmission efficace aux services concernés



Gérer les accusés de réception des appels clients



🔹 Gestion des informations & CRM

Codifier et mettre à jour les retours clients dans le système CRM



Maintenir l’exactitude des données dans l’outil de gestion interne



Suivre les demandes d’information générale ou spécifique selon les consignes internes



🔹 Relation & Service Client

Traiter les requêtes (appels, e-mails, messages) avec réactivité et efficacité



Établir une relation client de qualité et contribuer à leur fidélisation



Remonter les incidents et demandes complexes aux services concernés



🔹 Support opérationnel

Collaborer étroitement avec les autres départements pour garantir un service fluide



Participer à l’amélioration continue des processus de gestion du service client



Travailler selon des horaires flexibles (soir/week-end si requis)



🧠 Profil recherché

Excellente élocution et présentation irréprochable



Expérience confirmée en standard téléphonique et en gestion commerciale



Parfaite maîtrise du pack Office et des outils de téléphonie professionnelle



Sens de l’organisation, diplomatie, gestion du stress



Capacité à évoluer dans un environnement dynamique à fort volume d’interaction



📩 Candidature : Veuillez envoyer votre CV en format PDF",https://www.goafricaonline.com/sn/emploi/job-8222-standardiste-experimentee-chargee-de-la-clientele
Comptable,ELITE,Agences de voyage,Dakar,CDD,2025-06-18,"Responsabilités principales

 Comptabilité générale

Saisie et contrôle des écritures comptables (ventes, achats, banque, caisse)



Gestion de la comptabilité clients, fournisseurs, salaires



Réalisation des rapprochements bancaires



 Suivi de la trésorerie

Élaboration des états de trésorerie prévisionnelle



Suivi quotidien des encaissements/décaissements



Contrôle des caisses et coordination avec le service de réception



Gestion fiscale et sociale

Préparation et déclaration des obligations fiscales : TVA, TPT, CEL, BRS, VRS



Suivi des déclarations sociales : IPRES, CSS, IPM



Veille réglementaire pour garantir la conformité aux normes fiscales et sociales au Sénégal



🔹 Production des états financiers

Préparation du bilan, compte de résultat et annexes



Participation aux clôtures mensuelles, trimestrielles et annuelles



Interface avec les auditeurs externes et experts-comptables



🔹 Analyse financière et reporting

Élaboration de tableaux de bord de gestion (coût par chambre, taux d’occupation, coût des repas, etc.)



Contribution à l’analyse de rentabilité des activités



Appui à la direction dans la prise de décision financière



🧠 Compétences requises

Excellente maîtrise du SYSCOHADA révisé



Bonne connaissance du secteur hôtelier : gestion des recettes, fiscalité spécifique, saisonnalité



Maîtrise des outils comptables (SAGE, Odoo, ou équivalents) et Excel avancé



Sens aigu de l’analyse, rigueur, autonomie, discrétion et sens de l'organisation



📩 Candidature : Veuillez envoyer votre CV + lettre de motivation",https://www.goafricaonline.com/sn/emploi/job-8223-comptable
Technicien·ne en transformation agroalimentaire,ECOLE MARIAMA NIASS,Ecole de langue,Dakar,CDD,2025-06-18,"Missions principales :

Réaliser les différentes étapes de transformation des produits : lavage, cuisson, séchage, conditionnement.



Appliquer rigoureusement les recettes et les procédures de fabrication établies.



Contrôler la qualité des produits à chaque phase de la production.



Respecter scrupuleusement les normes d’hygiène et de sécurité alimentaire.



Assurer le nettoyage et la désinfection des équipements et de la zone de production.



🧠 Compétences et qualités requises :

Bonne connaissance des procédés de transformation agroalimentaire.



Maîtrise des bonnes pratiques d’hygiène (HACCP).



Précision, discipline, sens de l’organisation.



Goût du travail en équipe et capacité à évoluer dans un environnement dynamique.



⚠️ Conditions d’éligibilité :

Merci de ne postuler que si vous remplissez l’ensemble des critères suivants :



Diplôme requis dans le domaine agroalimentaire.



Expérience professionnelle minimale exigée dans un poste similaire.



📩 Candidature :

Envoyez votre CV et lettre de motivation",https://www.goafricaonline.com/sn/emploi/job-8224-technicienne-en-transformation-agroalimentaire
Technicien·ne de laboratoire agroalimentaire,ECOLE MARIAMA NIASS,Ecole de langue,Dakar,CDI,2025-06-18,"Missions principales :

Réaliser les analyses physico-chimiques et microbiologiques des matières premières, semi-finis et produits finis.



Vérifier la conformité des produits aux normes réglementaires et internes en vigueur.



Assurer la traçabilité des résultats via une documentation rigoureuse et structurée.



Identifier et signaler toute non-conformité, proposer des actions correctives.



Participer activement aux démarches d’amélioration continue en matière de qualité et sécurité alimentaire.



🧠 Compétences techniques et personnelles requises :

Excellente maîtrise des protocoles d’analyse en laboratoire agroalimentaire.



Bonne connaissance des normes qualité telles que HACCP et ISO 22000.



Grande rigueur scientifique, sens du détail et méthode de travail structurée.



Capacité d’analyse et de synthèse, tout en respectant une stricte confidentialité des données.



⚠️ Conditions d’éligibilité :

Merci de ne postuler que si vous remplissez les critères suivants :



Diplôme en biochimie (minimum Bac +3 ou équivalent).



Expérience professionnelle d’au moins 2 ans dans un laboratoire agroalimentaire ou similaire.



📩 Candidature :

Merci d’envoyer votre CV",https://www.goafricaonline.com/sn/emploi/job-8225-technicienne-de-laboratoire-agroalimentaire
Assistant(e) Technico-commercial(e) Réseaux Systèmes,GRAZEINA TECHNOLOGIES,Alarmes - Surveillance,Dakar,CDI,2025-06-18,"Responsabilités clés

Support commercial

Rédaction et gestion des devis et offres commerciales



Réponse aux demandes clients avec appui technique sur les produits/services



Suivi des commandes, livraisons, facturations



Mise à jour des bases de données clients et produits (CRM)



 Prospection & développement

Analyse des besoins clients et proposition de solutions adaptées



Contribution à la prospection commerciale et à l’identification de nouveaux marchés



Participation à la veille concurrentielle et sectorielle



🔹 Support technique

Formation de base des nouveaux clients sur les produits/services



Collaboration avec les équipes internes pour assurer un support technique de qualité



Rédaction de fiches techniques et de documentations commerciales



🔹 Gestion administrative

Suivi des dossiers clients et relances en cas d’impayés



Préparation des reportings et tableaux de bord commerciaux



Appui logistique lors d’événements ou salons professionnels



🧠 Compétences recherchées

🧩 Techniques

Maîtrise des outils bureautiques (Excel, Word, PowerPoint, CRM)



Connaissances techniques en lien avec les produits ou services de l’entreprise



Rédaction claire et structurée d’offres commerciales/techniques



🤝 Comportementales

Excellent relationnel, sens du service client



Organisation, rigueur et gestion des priorités



Esprit d’initiative, autonomie, capacité d’apprentissage rapide



📈 Perspectives d’évolution

Ce poste constitue une excellente passerelle vers des fonctions de :



Technico-commercial·e terrain



Responsable Commercial·e



Chef·fe de produit ou de projet

... en fonction de vos résultats et de votre montée en compétences.



📩 Candidature : Veuillez envoyer votre CV + lettre de motivation (en PDF)",https://www.goafricaonline.com/sn/emploi/job-8226-assistante-technico-commerciale-reseaux-systemes
Assistante Administrative/ Gestionnaire de Stock,ELITE RH,Agences de recrutement,Dakar,CDD,2025-06-18,"Missions principales

Gérer les entrées et sorties de stock, tant physiques qu’informatiques



Suivre les niveaux de stock et anticiper les commandes nécessaires



Organiser efficacement l’espace de stockage pour optimiser les flux



Réaliser les inventaires périodiques avec rigueur



Assurer le suivi administratif des bons de commande, de livraison et de facturation



Soutenir le service administratif dans les tâches quotidiennes : rédaction de courriers, classement, gestion des appels et mails



Mettre à jour les bases de données et gérer l’archivage des documents



🛠️ Compétences requises

Maîtrise des outils bureautiques (Word, Excel) et des logiciels de gestion de stock (Sage, EBP, etc.)



Rigueur, sens de l’organisation et autonomie dans le travail



Excellentes capacités de communication écrite et orale



Polyvalence et aptitude à gérer les priorités



🔍 Profil recherché

Formation : Bac+2 minimum en gestion, administration, logistique ou équivalent



Expérience préalable en gestion de stock ou poste similaire appréciée



⚙️ Conditions particulières

Travail en étroite collaboration avec les équipes logistique, comptabilité et fournisseurs



Déplacements occasionnels possibles sur sites fournisseurs selon les besoins



📩 Candidature : Merci d’envoyer votre CV et lettre de motivation en format PDF",https://www.goafricaonline.com/sn/emploi/job-8227-assistante-administrative-gestionnaire-de-stock
Stagiaire – Téléservices Digitaux & Rédaction,AGENCE HYBRIDE,Gestion des ressources humaines,Dakar,CDI,2025-06-18,"Nous recherchons un(e) stagiaire motivé(e) pour intégrer notre équipe dans le secteur des téléservices digitaux et de la rédaction de contenu.



Profil recherché

Résidence proche de Keur Massar



Une première expérience en centre d’appel serait un plus



Formation en Ressources Humaines (RH) appréciée



Candidature

Merci d’envoyer votre CV accompagné d’une lettre de motivation",https://www.goafricaonline.com/sn/emploi/job-8228-stagiaire-teleservices-digitaux-et-redaction
Médecin généraliste,PAD (PORT AUTONOME DE DAKAR),Transports logistiques,Dakar,CDD,2025-06-12,"Port Autonome de Dakar



Le Port Autonome de Dakar (PAD), entreprise stratégique du secteur portuaire sénégalais, place la santé et la sécurité de son personnel au centre de ses priorités. Dans le cadre du renforcement de son Service Médical Interne, le PAD souhaite recruter un·e Médecin Généraliste afin d’assurer la prise en charge médicale des agents, la médecine préventive ainsi que le soutien aux actions de santé au travail.



Missions principales

Sous l’autorité de la Division Médico-Sociale, le·la Médecin Généraliste sera chargé·e de :



Réaliser les consultations médicales quotidiennes : diagnostic, prescription et suivi des traitements.



Assurer la gestion des urgences médicales sur site, y compris les évacuations si nécessaire.



Contribuer à l’identification, à l’analyse et à la prévention des risques professionnels, en lien avec le Comité d’Hygiène et de Sécurité du Travail (CHST).



Travailler en étroite collaboration avec l’équipe médicale composée de sages-femmes, d’infirmier·ère·s et d’assistant·e·s médicaux.



Veiller à la tenue rigoureuse des dossiers médicaux du personnel.



Participer aux campagnes de vaccination, de dépistage et de sensibilisation (hypertension artérielle, diabète, VIH, etc.).



Profil recherché

Être titulaire d’un Doctorat d’État en médecine.



Une expérience dans la médecine du travail ou la médecine en entreprise serait un atout.



Qualités requises : sens de l’écoute, rigueur, esprit d’équipe, confidentialité et réactivité.



Pièces à fournir

Le dossier de candidature devra comprendre :



Une lettre de motivation ;



Un curriculum vitae détaillé avec des références professionnelles ;



Les copies légalisées des diplômes et certifications ;



Un extrait de casier judiciaire datant de moins de trois mois.



Modalités de candidature

Les dossiers doivent être déposés sous pli fermé à l’adresse suivante :

Direction du Capital Humain

Port Autonome de Dakar

21 Boulevard de la Libération – Dakar",https://www.goafricaonline.com/sn/emploi/job-7972-medecin-generaliste
Conseiller Client,MARCODI BUSINESS GROUP,Transports,Dakar,CDI,2025-06-12,"Description du poste

Le·la Conseiller·ère Client constitue le premier point de contact entre MARCODI et sa clientèle. À ce titre, il·elle joue un rôle central dans l’accueil, l’information et l’accompagnement des clients, en leur apportant des réponses claires, rapides et personnalisées à leurs demandes (réservations de billets d’avion, modifications, réclamations, etc.).



Professionnel·le et à l’écoute, il·elle veille à garantir une expérience client fluide et de qualité, tout en valorisant l’image et les engagements de MARCODI. Sa parfaite maîtrise des outils de réservation, sa connaissance actualisée des offres, des destinations et des procédures de voyage, ainsi que son sens du service, font de lui·elle un·e acteur·rice clé de la satisfaction et de la fidélisation des clients.



Missions principales



Accueillir, informer et conseiller les clients en agence, par téléphone ou par messagerie.



Effectuer les réservations de billets d’avion et les modifications demandées.



Traiter efficacement les réclamations ou demandes spécifiques.



Proposer des solutions adaptées aux besoins et au profil de chaque client.



Assurer un suivi rigoureux des dossiers clients et garantir leur satisfaction.



Mettre à jour ses connaissances sur les offres, les destinations, les tarifs et les procédures en vigueur.



Utiliser de manière fluide les outils de réservation et les logiciels métiers.



Représenter les valeurs et le professionnalisme de MARCODI dans toutes les interactions.



Profil recherché



Formation en tourisme, commerce ou relation client.



Première expérience souhaitée dans une agence de voyages ou un centre de contact.



Excellentes compétences en communication orale et écrite.



Maîtrise des outils de réservation et des canaux de communication client.



Sens du service, rigueur, réactivité et esprit d’équipe.



Capacité à gérer plusieurs demandes en simultané et à travailler sous pression.



Bonne présentation, dynamisme et orientation solution.",https://www.goafricaonline.com/sn/emploi/job-7973-conseiller-client
Chargé·e de projet – Protection des lanceurs d’alerte et lutte contre les flux financiers illicites,PPLAAF,Organisations non-gouvernementales (ONG),Dakar,Stage,2025-06-12,"Missions principales

Sous la supervision de la Responsable des programmes Afrique de l’Ouest, vous serez en charge de :



Coordonner et mettre en œuvre les activités du projet dans les pays ciblés : planification, exécution, suivi et reporting.



Organiser des formations et des actions de mobilisation.



Participer à l’organisation de campagnes de sensibilisation en collaboration avec la chargée de communication.



Développer et animer des réseaux d’acteurs.



Apporter un appui aux lanceurs d’alerte bénéficiaires du projet.



Assurer le lien avec les enquêteurs et journalistes impliqués.



Coordonner les acteurs autour des contentieux stratégiques.



Participer aux rencontres institutionnelles et représenter PPLAAF dans les espaces de dialogue liés au projet.



Veiller au respect des obligations contractuelles et des règles administratives, financières et de conformité, notamment l’archivage des documents justificatifs.



Collaborer avec la chargée administrative et financière pour garantir la bonne exécution budgétaire.



Coordonner le travail avec les partenaires locaux (OSC, médias, institutions publiques) et les prestataires.



Contribuer au suivi-évaluation, à la rédaction des rapports narratifs et financiers.



Participer à la capitalisation des apprentissages et à la valorisation des résultats.



Profil recherché



Formation et expérience



Master 2 en droit, sciences politiques, relations internationales, développement, sciences sociales ou domaine équivalent.



Minimum 2 ans d’expérience en gestion de projets dans une organisation de la société civile ou internationale, idéalement liés aux droits humains, gouvernance, transparence ou lutte contre la corruption.



Bonne connaissance du contexte sociopolitique en Afrique de l’Ouest et centrale, ainsi que des enjeux de corruption et droits humains.



La connaissance des règles contractuelles et procédures de l’Union européenne, Expertise France ou AFD est un atout.



Compétences



Maîtrise des outils et méthodes de gestion de projet (planification, cadre logique, budgétisation, reporting).



Excellentes capacités rédactionnelles et orales, notamment pour la rédaction de rapports, communication externe et prises de parole en public.



Bon relationnel et capacité à entretenir des relations professionnelles constructives avec divers interlocuteurs.



Capacité à hiérarchiser les priorités et gérer efficacement son temps.



Autonomie dans la gestion de projet avec une supervision limitée.



Bonne maîtrise du français et de l’anglais, à l’écrit comme à l’oral.



Disponibilité pour des déplacements fréquents en Afrique.



Aptitude à travailler dans un environnement multiculturel et international, avec des interlocuteurs situés dans différents fuseaux horaires.



Bonne compréhension des enjeux liés à la protection des lanceurs d’alerte, à la transparence et à la lutte contre la corruption.



Sens de l’organisation, rigueur, autonomie, esprit d’initiative et capacité à travailler sous pression.



Modalités de candidature

Nous invitons les candidat·e·s intéressé·e·s à nous transmettre leur CV accompagné d’une lettre de motivation.",https://www.goafricaonline.com/sn/emploi/job-7974-chargee-de-projet-protection-des-lanceurs-d-alerte-et-lutte-contre-les-flux-financiers-illicites
Equipe comptable et contrôle de gestion,IBS,Agences immobilières,Dakar,Stage,2025-06-12,"Tu es rigoureux(se), à l’aise avec les chiffres et doté(e) d’un bon esprit d’analyse ?

 Rejoins notre équipe Comptabilité & Contrôle de Gestion !



 Profil recherché :

Diplôme Bac +5 obligatoire



Minimum 2 ans d’expérience dans un poste similaire



Esprit d’équipe, fiabilité et sens du détail



 Intègre une équipe dynamique, engagée et motivée !



Postule dès maintenant en remplissant ce formulaire :

https://docs.google.com/forms/d/e/1FAIpQLSeAjuYKnCYd-eBceKS7_QuX0_NCl6yskK1QqxvzpK-FZrRSAw/viewform",https://www.goafricaonline.com/sn/emploi/job-7976-equipe-comptable-et-controle-de-gestion
Consultants Fonds Catalyseur et Outils d’Investissement,WINROCK INTERNATIONAL - WI,Organisations non-gouvernementales (ONG),Dakar,Stage,2025-06-12,"Principales responsabilités

Élaborer des manuels de procédures détaillés et des documents de processus d’investissement.



Concevoir des grilles d’analyse financière, des modèles de scoring et des outils d’évaluation ESG (environnement, social, gouvernance).



Mettre en place des tableaux de bord de suivi de portefeuille et des modèles de reporting sous Excel ou via des solutions numériques adaptées.



Former les membres de l’équipe d’investissement à l’utilisation des outils développés (sessions pratiques, guides d’utilisation, transfert de connaissances).



Profil recherché

Solide expérience en structuration d’outils d’investissement, analyse financière, gestion de portefeuille ou évaluation ESG.



Maîtrise avancée d’Excel et/ou d’outils numériques de reporting et de modélisation financière.



Très bonne capacité à formaliser des procédures et à produire des supports pédagogiques.



Compétence avérée en formation et en accompagnement technique d’équipes.



Langue : Maîtrise professionnelle du français (écrit et oral indispensable).



Modalités de candidature

Recrutement ouvert en continu — pas de date limite de dépôt.



Merci d’envoyer :



votre CV



une courte lettre de motivation (max. 1 page)

en précisant les domaines d’expertise auxquels vous correspondez (parmi les responsabilités mentionnées).",https://www.goafricaonline.com/sn/emploi/job-7977-consultants-fonds-catalyseur-et-outils-d-investissement
Responsable Services Support,ACF INTERNATIONAL,Conseil juridique - Conseil fiscal,Mbour,CDI,2025-06-12,"Mission principale

Le/la Responsable des Services Support assure la qualité, l’efficacité et l’efficience des actions des départements supports au bureau régional et dans les programmes. Il/elle supervise les équipes support, coordonne les processus, favorise les synergies et veille au respect des politiques organisationnelles et des exigences des bailleurs.



Principales responsabilités

1. Supervision et coordination des fonctions support



Garantir le bon fonctionnement et la coordination des départements support (finance, RH, logistique, audit, etc.).



Suivre la mise en œuvre des plans d’action et des indicateurs de performance.



Rechercher des synergies et proposer des initiatives innovantes pour améliorer la collaboration entre supports et programmes.



Assurer le suivi, l’appui et le renforcement des capacités des équipes support.



Manager et évaluer les performances des collaborateurs directs.



Promouvoir les valeurs de l’organisation et prévenir toute forme d’abus.



Assurer la mise à jour des outils financiers (Finance Management Tool, Cost Coverage Plan).



2. Suivi stratégique



Veiller au respect des orientations stratégiques des départements support.



Orienter les coordinateurs support vers l’atteinte des résultats.



Garantir la qualité des activités support et la gestion des risques associés.



Piloter la définition et le suivi des initiatives stratégiques des départements.



Veiller à l’application stricte des politiques et procédures internes.



Optimiser l’utilisation des ressources (financières, humaines, logistiques).



Soutenir la planification, le suivi budgétaire et le reporting des départements support.



3. Suivi administratif et veille juridique



Être le point focal pour les enregistrements officiels et négociations administratives auprès des autorités étatiques.



Assurer le lien avec le conseil juridique et veiller à la conformité juridique des opérations.



Suivre les dossiers et litiges juridiques en lien avec le Représentant Régional.



Garantir la conformité des contrats, protocoles et accords aux lois locales.



Effectuer une veille juridique continue pour protéger la mission des risques légaux.



Profil recherché

Formation : Études supérieures en finance, logistique, audit ou domaines connexes.



Expérience : Minimum 5 ans dans le secteur humanitaire, dont au moins 2 ans à un poste similaire.



Expertise dans la gestion des services supports en organisations humanitaires (RH, finance, logistique, audit).



Expérience significative en opérations humanitaires d’urgence et de développement.



Compétences managériales solides pour encadrer une équipe senior multidisciplinaire.



Excellentes capacités de communication, d’animation et d’analyse.



Maîtrise des outils bureautiques (Word, Excel, Outlook, PowerPoint).



Langues : Français courant obligatoire, bon niveau d’anglais et espagnol souhaité.



Mobilité : déplacements internationaux ponctuels.



Engagement en faveur de l’égalité des genres, avec expérience ou motivation avérée.



Conditions d’emploi

Lieu : Dakar, Sénégal



Type de contrat : Poste national, incorporation immédiate



Rémunération : Niveau V2 selon expérience



Avantages : Assurance santé et vie, 25 jours ouvrables de congés payés par an



Si vous correspondez à ce profil et souhaitez rejoindre une organisation dynamique d’envergure internationale, merci de nous transmettre votre CV et lettre de motivation.",https://www.goafricaonline.com/sn/emploi/job-7978-responsable-services-support
Consultants Conseiller en Développement Commercial et Renforcement des Capacités,WINROCK INTERNATIONAL - WI,Organisations non-gouvernementales (ONG),Dakar,Stage,2025-06-12,"Notre ambition collective

Faire de la filière anacarde un moteur régional de compétitivité, de valeur ajoutée et d’inclusion, avec pour objectifs :



Créer 330 000 emplois pour les jeunes femmes et hommes grâce à des chaînes de valeur dynamiques et des entreprises en croissance.



Mobiliser 150 millions USD d’investissements via des solutions financières innovantes et des partenariats privés.



WEECAP agit comme un catalyseur en alignant les chaînes d’approvisionnement, en déployant des modèles d’entreprise performants, en mobilisant des capitaux adaptés et en soutenant des réformes sectorielles. L’inclusion est un levier clé de performance et succès commercial.



Aperçu du poste

Le·la Responsable Développement Commercial pilote la stratégie de renforcement de la compétitivité de la transformation de la noix de cajou en Afrique de l’Ouest. Il·elle développe les partenariats commerciaux, facilite l’accès aux marchés, et soutient les transformateurs pour répondre aux normes de qualité et certification. Le poste est axé sur le développement de partenariats durables avec des acheteurs internationaux et la structuration de chaînes d’approvisionnement inclusives.



Principales responsabilités



Planification stratégique : co-construire le plan de travail avec le Directeur de la Compétitivité.



Développement et accès au marché : établir et animer les relations avec transformateurs, producteurs et acheteurs locaux et internationaux.



Structuration de partenariats commerciaux : faciliter co-investissements et alliances inclusives.



Soutien à la compétitivité : connecter les transformateurs à des services-conseils et accompagner leur montée en normes.



Veille et analyses de marché : piloter les études de marché et conseiller sur la diversification, la tarification et les opportunités d’investissement.



Mise en réseau et promotion : représenter WEECAP lors d’événements, construire un réseau dynamique de transformateurs.



Renforcement des capacités : appuyer les prestataires de services dans l’accompagnement des transformateurs.



Profil recherché



Licence en Administration des Affaires, Agroalimentaire, Économie ou domaine connexe (Master préféré).



Minimum 7 ans d’expérience dans l’agroalimentaire, la transformation ou le développement de chaînes de valeur.



Expertise des chaînes de valeur de la noix de cajou et des marchés d’acheteurs.



Expérience avérée en accès au marché, partenariats B2B, certification et gestion qualité.



Excellentes compétences en communication, négociation et facilitation.



Disponibilité pour déplacements fréquents dans la région UEMOA.



Modalités de candidature

Recrutement ouvert en continu. Merci d’envoyer votre dossier de candidature complet (CV + lettre de motivation) à l’adresse indiquée par WEECAP.",https://www.goafricaonline.com/sn/emploi/job-7979-consultants-conseiller-en-developpement-commercial-et-renforcement-des-capacites
Gestionnaire / Lead SMI (Système de Management Intégré),LA LAITERIE DU BERGER,Produits laitiers,Dakar,Freelance,2025-06-12,"Responsabilités Clés

Documentation & Contrôle documentaire



Rédiger, structurer et gérer les documents QHSE (procédures, instructions, enregistrements, politiques, plans).



Assurer la mise à jour, diffusion et accessibilité des documents dans l’outil documentaire (physique ou digital).



Former les utilisateurs à la maîtrise documentaire et aux exigences associées.



Audit interne & Suivi de conformité



Élaborer et mettre en œuvre le plan annuel des audits internes selon les normes ISO.



Accompagner les audits externes (certification, clients, autorités).



Suivre les actions correctives et préventives issues des audits et réclamations.



Certification & Amélioration continue



Participer à la préparation, au maintien et au renouvellement des certifications (ISO, FSSC).



Identifier les écarts, opportunités d’amélioration et bonnes pratiques.



Animer des revues de processus et des outils qualité (AMDEC, etc.) pour fiabiliser les pratiques.



Culture Qualité – Food Fraud et Food Defense



Coordonner l’élaboration et la mise à jour des plans Food Defense et Biovigilance.



Veiller à la sécurisation des zones sensibles, au contrôle des accès et au monitoring des points critiques.



Former les équipes aux risques de malveillance, sabotage et fraude alimentaire.



Réaliser des inspections inopinées et intervenir dans la cellule de crise si besoin.



Développer et animer des formations qualité pour le personnel et prestataires.



Mettre en place des rituels d’animation (quarts d’heure qualité, flash safety, affichage dynamique).



Encourager les bonnes pratiques par des challenges et audits gamifiés.



Suivi des indicateurs & reporting



Maintenir à jour les KPI du Système de Management Intégré (audits, conformité, traitement des non-conformités, revues de direction).



Contribuer aux bilans QHSE mensuels, comités de pilotage et revues de direction.



Profil Recherché

Formation : Bac +3 à Bac +5 en QHSE, agroalimentaire ou management qualité.



Expérience : 3 à 5 ans minimum dans un poste similaire, idéalement en industrie agroalimentaire ou laitière.



Compétences :



Maîtrise des normes ISO 9001, FSSC 22000, ISO 14001, ISO 45001.



Expertise en audit, AMDEC, gestion documentaire et analyse des risques.



Excellente capacité rédactionnelle, organisation rigoureuse et discrétion professionnelle.



Bonne communication, pédagogie, esprit critique et autonomie.



Maîtrise des outils informatiques (Suite Office, Excel avancé, QMS, SharePoint).",https://www.goafricaonline.com/sn/emploi/job-7980-gestionnaire-lead-smi-systeme-de-management-integre
Spécialiste Technique Régional MHPSS,HANDICAP INTERNATIONAL,Organisations non-gouvernementales (ONG),Dakar,CDD,2025-06-12,"Expertise technique

Piloter la stratégie sectorielle SMSPS au niveau régional et contribuer à la réflexion stratégique globale.



Développer, suivre et assurer la mise en œuvre de la stratégie régionale SMSPS en lien avec la stratégie technique globale.



Promouvoir des approches intégrées et synergies avec d’autres secteurs selon les priorités stratégiques.



Garantir un appui technique conforme aux normes et cadres sectoriels.



Développer et actualiser guidances, outils et analyses contextuelles.



Apporter conseil technique sur des projets en contexte de développement et de crises.



Intégrer les approches transversales HI (Handicap-Genre-Âge, sensibilité aux conflits, protection).



Renforcer les capacités du personnel technique et non technique par formation et accompagnement.



Participer au recrutement et à l’induction du personnel technique.



Animer les échanges techniques avec les équipes régionales SMSPS.



Contrôle et suivi de la qualité technique

Réaliser des missions de suivi terrain et appuyer la qualité des interventions.



Collaborer étroitement avec MEAL et Chefs de Projet pour la revue qualité.



Soutenir les équipes pays aux différentes étapes du cycle projet.



Proposer des ajustements programmatiques selon contexte évolutif.



Gestion des connaissances et innovation

Contribuer à la capitalisation et à la recherche dans le domaine SMSPS.



Animer et faciliter les communautés de pratiques régionales et globales.



Rédiger et diffuser des briefs techniques et documents de capitalisation.



Encourager la production de contenus thématiques innovants.



Développement des partenariats et veille stratégique

Effectuer une veille stratégique sur les dynamiques régionales et appels à projets.



Identifier et soutenir le développement de partenariats stratégiques (ONG, instituts de recherche, secteur privé, etc.).



Appuyer la rédaction et la qualité technique des propositions de projets.



Influence, visibilité et plaidoyer

Participer aux plateformes sectorielles régionales et aux rencontres avec bailleurs et acteurs clés.



Appuyer la visibilité technique par publications, interventions et supports externes.



Soutenir la communication externe liée aux activités SMSPS.



Point focal protection

Assurer le relais institutionnel et technique des référentiels protection en coordination avec les experts concernés.



Faciliter les liens entre équipes terrain et expertises techniques globales/nationales.



Sensibiliser les équipes programmes aux référentiels protection.



Participer aux espaces régionaux de coordination protection.



Contribuer à la veille, capitalisation et plaidoyer en matière de protection.



Contexte et spécificités du poste

Environnement sécuritaire variable avec zones à risque (ex. Sahel).



Mécanismes de gestion des risques et sécurité adaptés.



Conditions de vie variables selon pays, déplacements professionnels encadrés.



Profil recherché

Formation



Master en psychologie (clinique, sociale, interculturelle) ou diplôme universitaire en sciences humaines avec expérience significative en SMSPS humanitaire/développement/urgence.



Expérience



Minimum 7 ans d’expérience technique en SMSPS au sein d’ONG.



Expérience confirmée en développement stratégique SMSPS dans environnements complexes.



Au moins 3 ans en Afrique sub-saharienne (Sahel/Afrique de l’Ouest).



Expérience souhaitée avec populations handicapées, groupes marginalisés, contextes de violence/conflit.



Compétences techniques



Maîtrise des standards et bonnes pratiques SMSPS (urgence, post-crise, développement).



Expertise en interventions communautaires intégrées.



Connaissance approfondie des approches droits, inclusion, résilience, genre, âge, handicap.



Maîtrise des méthodes d’évaluation besoins, suivi et évaluation SMSPS.



Expérience en formation, animation et développement d’outils pédagogiques.



Compétences en localisation de l’aide et renforcement des capacités partenaires locaux.



Rédaction technique solide (rapports, notes, capitalisation).



Compréhension approfondie de l’Approche Humanitaire Inclusive (AHI) et des normes de protection.



Capacité à intégrer les dimensions Handicap-Genre-Âge (HGA).



Expérience en plaidoyer et sensibilisation sur inclusion et protection.



Coordination technique intersectorielle, principes « Do No Harm ».



Atout : expérience en recherche, innovation, monitoring-évaluation qualité.



Aptitudes personnelles



Excellentes capacités relationnelles, écoute et communication interculturelle.



Aptitude à encadrer, former et coacher des équipes multiculturelles, sur site et à distance.



Esprit d’analyse, rigueur, autonomie, sens de l’organisation et gestion des priorités.



Adaptabilité, flexibilité, disponibilité pour déplacements réguliers.



Langues et informatique



Maîtrise indispensable du français, anglais souhaité.



Connaissance des langues locales un plus.



Maîtrise des outils bureautiques (Word, Excel, PowerPoint, Outlook) et collaboratifs (Teams, SharePoint).



Conditions

Contrat international de 2 ans à partir du 1er septembre 2025.



Couverture sociale complète adaptée (assurances chômage, retraite, santé, rapatriement, prévoyance).



Salaire brut mensuel à partir de 2869 €.



Per diem, hardship, congés payés, R&R selon pays d’affectation.



Poste ouvert en versions non accompagné, couple et famille.



Logement collectif ou individuel pris en charge par HI.",https://www.goafricaonline.com/sn/emploi/job-7981-specialiste-technique-regional-mhpss
